index,Country,Number ,Type,Mitigation or adaptation,NDC Target Text,index,NCS Action ,Mitigation and/or adaptation,Ecosystem Type(s),NCS Categories,generated_sample,,0.399547255
0,Belize,6.2.1 - Land use change and forestry,Target,Mitigation  ,"Reduce GHG emissions and increase GHG removals related to land use change totalling 2,053 KtCO2e11 cumulative over the period from 2021 to 2030",0,Manage,adaptation,Marine and coastal zones,"TOPIC: ""Management of marine, fisheries and coastal zones"" KEYWORDS: ""coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting""",#No #No identified similarity.,No,
1,Belize,6.2.1 - Land use change and forestry,Action,Mitigation,"Complete the REDD-plus Strategy, including options, implementation framework and assessment of social and environmental impacts, publish and maintain a National Forest Reference Level covering 2006-2020, and design systems for monitoring, information and safeguards; including stock taking for tropical forest and mangrove cover and promotion of community land stewardship practices. Participate in REDD+ for performance-based payments for emissions reductions and removals increase achieved above and beyond the commitment in this NDC.",0,Manage,adaptation,Marine and coastal zones,"TOPIC: ""Management of marine, fisheries and coastal zones"" KEYWORDS: ""coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting""","#Yes. #1. TOPIC: The NDC Target Text mentions the management of marine, fisheries, and coastal zones through the mention of ""coastal and mangrove cover"" and ""promotion of community land stewardship practices."" #2. KEYWORDS: The NDC Target Text includes the following keywords: coastal zone, mangrove, marine fisheries, coastal zones.",Ye,
2,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Implement reforestation practices for 1,400 hectares in forest areas
inside protected areas, as well as the restoration of 6,000 hectares
of degraded and deforested riparian forests12 by 2030, with 750
hectares of this being restored in key watersheds by 2025",0,Manage,adaptation,Marine and coastal zones,"TOPIC: ""Management of marine, fisheries and coastal zones"" KEYWORDS: ""coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting""",#No. #No identified similarity.,No,
3,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Reduce degradation in 42,600 hectares of forest within protected
areas by reducing fire incidence, improving logging practices, and
controlling other human disturbance by 2030.",0,Manage,adaptation,Marine and coastal zones,"TOPIC: ""Management of marine, fisheries and coastal zones"" KEYWORDS: ""coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting""",#No #No identified similarity.,No,
4,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Assess potential to reduce emissions related to fuelwood collection
and use including an assessment of social and cultural impacts and
collection of data on current fuelwood use in local communities
throughout Belize and incorporate findings into forestry sector
strategies.",0,Manage,adaptation,Marine and coastal zones,"TOPIC: ""Management of marine, fisheries and coastal zones"" KEYWORDS: ""coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting""","#Yes. #1. TOPIC: The NDC Target Text mentions the management of marine, fisheries, and coastal zones. #2. KEYWORDS: The NDC Target Text includes the following keywords: coastal zone, forestry sector strategies.",Ye,
5,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Incorporate and monitor agroforestry practices into at least 8,000
hectares of agricultural landscapes by 2030 by planting shade
trees,13 in line with the draft National Agroforestry Policy, with 4,500
hectares of this being implemented by 2025 conditional on
adoption, implementation and financing of the agroforestry policy",0,Manage,adaptation,Marine and coastal zones,"TOPIC: ""Management of marine, fisheries and coastal zones"" KEYWORDS: ""coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting""",#No #No identified similarity.,No,
6,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Promote and monitor the stewardship of 10,000 hectares of local
community and indigenous people’s lands as sustainably managed
landscape to serve as net carbon sinks",0,Manage,adaptation,Marine and coastal zones,"TOPIC: ""Management of marine, fisheries and coastal zones"" KEYWORDS: ""coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting""","#Yes. #1. TOPIC: The NDC Target Text mentions the management of marine, fisheries, and coastal zones through the promotion and monitoring of sustainably managed landscapes. #2. KEYWORDS: The NDC Target Text includes the following keywords: coastal zone, carbon sinks.",Ye,
7,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Explore alongside Article 6 of the Paris Agreement, new financing
options to support forest protection and restoration, including
REDD+ performance-based payments, multilateral and bilateral
funds, insurance products, debt-for-nature swaps, private
investment, carbon credits and bonds, and other innovative
conservation financing mechanisms",0,Manage,adaptation,Marine and coastal zones,"TOPIC: ""Management of marine, fisheries and coastal zones"" KEYWORDS: ""coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting""","#Yes. #1. TOPIC: The NDC Target Text mentions the management of marine, fisheries, and coastal zones by discussing options to support forest protection and restoration. #2. KEYWORDS: The NDC Target Text includes the following keywords: coastal zone risk retention, coastal environment monitoring and risk assessment/prediction.",Ye,
8,Belize,6.2.1 Land use change and forestry,Target,Mitigation,"Enhance the capacity of the country’s mangrove and seagrass
ecosystems to act as a carbon sink by 2030, through increased
protection of mangroves and by removing a cumulative total of
381 KtCO2e between 2021 and 2030 through mangrove
restoration.",0,Manage,adaptation,Marine and coastal zones,"TOPIC: ""Management of marine, fisheries and coastal zones"" KEYWORDS: ""coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting""","#Yes. #1. TOPIC: The NDC Target Text mentions the management of marine, fisheries, and coastal zones through the enhancement of mangrove and seagrass ecosystems. #2. KEYWORDS: The NDC Target Text includes the following keywords: coastal zone risk retention, coastal environment monitoring and risk assessment/prediction, marine ecosystem service management.",Ye,
9,Belize,6.2.1 Land use change and forestry,Action,Mitigation,"Building on the 12,827 hectares of mangroves currently under
protection, protect at least a further 6,000 hectares of
mangroves by 2025, with an additional 6,000 hectares by 2030.
This includes the establishment of new and/or improvement of
existing public conservation measures to cover 100% of publicly
owned areas identified in the Government’s mangrove priority
areas from the Forests (Protection of Mangroves) Regulations
2018; partnerships with landlords of privately owned
mangroves, local communities, bilateral and multilateral
agencies and the continued enforcement of the 2018 mangrove
regulations. This is a non-CO2e commitment, since baseline
mangrove loss has been negligible over the 20-year period from
2001 to 2020.",0,Manage,adaptation,Marine and coastal zones,"TOPIC: ""Management of marine, fisheries and coastal zones"" KEYWORDS: ""coastal zone risk retention - soft structure, coastal zone risk retention - hard structure, coastal environment monitoring and risk assessment / prediction, disease management of marine resources, marine production promotion, marine ecosystem service management, marine fisheries and coastal zones education and consulting""","#Yes. #1. TOPIC: The NDC Target Text mentions the management of marine, fisheries, and coastal zones by discussing the protection and establishment of mangroves. #2. KEYWORDS: The NDC Target Text includes the following keywords: coastal zone risk retention, coastal environment monitoring and risk assessment/prediction, marine ecosystem service management.",Ye,
