index,Country,Target Text,Target Name,Document,Source,Convention,Doc,Type,Target Textt,index,Themes,Texts,Area,Textt,generated_sample
0,Uzbekistan,"By 2030 all areas of Uzbekistan are under a national system of participatory integrated spatial land and natural resource use planning at district level, that adequately considers and incorporates the restoration and maintenance of biodiversity values and ecosystem services, as part of wider sustainable development planning",CBD Target 1a,CBD Online Reporting Tool,https://ort.cbd.int/national-targets/analyzer?countries=uz#0.8/0/0,nature,CBDORT,National Biodiversity Targets,"By 2030 all areas of the country are under a national system of participatory integrated spatial land and natural resource use planning at district level, that adequately considers and incorporates the restoration and maintenance of biodiversity values and ecosystem services, as part of wider sustainable development planning",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
1,Uzbekistan,By 2030 all cities in Uzbekistan have “masterplans” for preservation and creation of “green areas” covering 30% of their territory that enhance both the living environment for people and conservation of biodiversity.,CBD Target 1b,CBD Online Reporting Tool,https://ort.cbd.int/national-targets/analyzer?countries=uz#0.8/0/1,nature,CBDORT,National Biodiversity Targets,By 2030 all cities in the country have “masterplans” for preservation and creation of “green areas” covering 30% of their territory that enhance both the living environment for people and conservation of biodiversity.,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
2,Uzbekistan,"By 2030 undertake the ecological restoration of at least 30% of degraded landscapes and ecosystems in Uzbekistan, with priority placed on those providing most critical ecosystem services and biodiversity values.",CBD Target 2,CBD Online Reporting Tool,https://ort.cbd.int/national-targets/analyzer?countries=uz#0.8/0/2,nature,CBDORT,National Biodiversity Targets,"By 2030 undertake the ecological restoration of at least 30% of degraded landscapes and ecosystems in the country, with priority placed on those providing most critical ecosystem services and biodiversity values.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
3,Uzbekistan,"Undertake urgent management actions to conserve species on the Uzbekistan Red List, with priority to those most threatened and endangered, through species-specific conservation action plans, establishment and effective management of ex-situ and re-introduction programmes (in-situ covered by Target 3), and establish mechanisms for minimising human/wildlife conflict.",CBD Target 3,CBD Online Reporting Tool,https://ort.cbd.int/national-targets/analyzer?countries=uz#0.8/0/3,nature,CBDORT,National Biodiversity Targets,"Undertake urgent management actions to conserve species on the the country Red List, with priority to those most threatened and endangered, through species-specific conservation action plans, establishment and effective management of ex-situ and Renewable Energy-introduction programmes (in-situ covered by Target 3), and establish mechanisms for minimising human/wildlife conflict.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
4,Uzbekistan,"By 2030 at least 30 percent of Uzbekistan’s terrestrial and inland water areas are effectively conserved and managed through ecologically representative, well-connected and equitably governed systems of protected areas (IUCN Cat. I-IV 0 20%) and other effective area-based conservation measures that will be developed and applied (additional 10%).",CBD Target 4,CBD Online Reporting Tool,https://ort.cbd.int/national-targets/analyzer?countries=uz#0.8/0/4,nature,CBDORT,National Biodiversity Targets,"By 2030 at least 30 percent of the country’s terrestrial and inland water areas are effectively conserved and managed through ecologically representative, well-connected and equitably governed systems of protected areas (IUCN Cat. I-IV 0 20%) and other effective area-based conservation measures that will be developed and applied (additional 10%).",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
5,Uzbekistan,Strengthen the mechanisms for regulation and control of the use and trade of flora and fauna within and to outside of Uzbekistan in accordance with sound national conservation needs and international agreements.,CBD Target 5,CBD Online Reporting Tool,https://ort.cbd.int/national-targets/analyzer?countries=uz#0.8/0/5,nature,CBDORT,National Biodiversity Targets,Strengthen the mechanisms for regulation and control of the use and trade of flora and fauna within and to outside of the country in accordance with sound national conservation needs and international agreements.,0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
6,Uzbekistan,"Establish effective mechanisms to reduce the introduction of invasive species to Uzbekistan by at least 50% by 2030, and ensure control of already established invasive species in order to minimize economic losses and impacts to biodiversity",CBD Target 6,CBD Online Reporting Tool,https://ort.cbd.int/national-targets/analyzer?countries=uz#0.8/0/6,nature,CBDORT,National Biodiversity Targets,"Establish effective mechanisms to reduce the introduction of invasive species to the country by at least 50% by 2030, and ensure control of already established invasive species in order to minimize economic losses and impacts to biodiversity",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
7,Uzbekistan,"Reduce pollution risks and the negative impact of pollution from all sources by 2030, to levels that are not harmful to biodiversity and ecosystem functions and services, considering cumulative effects. Including pollution originating from agriculture (nutrients from fertilizer, pesticides, saline water), from industry (chemicals), and waste (sewage, other waste, particularly plastics).",CBD Target 7,CBD Online Reporting Tool,https://ort.cbd.int/national-targets/analyzer?countries=uz#0.8/0/7,nature,CBDORT,National Biodiversity Targets,"Reduce pollution risks and the negative impact of pollution from all sources by 2030, to levels that are not harmful to biodiversity and ecosystem functions and services, considering cumulative effects. Including pollution originating from agriculture (nutrients from fertilizer, pesticides, saline water), from industry (chemicals), and waste (sewage, other waste, particularly plastics).",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
8,Uzbekistan,"Ensure the efficient and effective integration and synergistic implementation of the interlinked issues of climate change adaption, combatting land degradation and biodiversity/ecosystem services conservation through active integration and intergovernmental coordination of actions and the prioritization of “ecosystem-based” approaches” to addressing these fundamental threats to Uzbekistan sustainable development.",CBD Target 8,CBD Online Reporting Tool,https://ort.cbd.int/national-targets/analyzer?countries=uz#0.8/0/8,nature,CBDORT,National Biodiversity Targets,"Ensure the efficient and effective integration and synergistic implementation of the interlinked issues of climate change adaption, combatting land degradation and biodiversity/ecosystem services conservation through active integration and intergovernmental coordination of actions and the prioritization of “ecosystem-based” approaches” to addressing these fundamental threats to the country sustainable development.",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
9,Uzbekistan,"Ensure by 2030 that wild species and aesthetically high value natural landscapes of Uzbekistan are used sustainably, in order to maximize the social, economic and environmental benefits for people (particularly rural populations most dependant on nature).",CBD Target 9,CBD Online Reporting Tool,https://ort.cbd.int/national-targets/analyzer?countries=uz#0.8/0/9,nature,CBDORT,National Biodiversity Targets,"Ensure by 2030 that wild species and aesthetically high value natural landscapes of the country are used sustainably, in order to maximize the social, economic and environmental benefits for people (particularly rural populations most dependant on nature).",0,"Protection, management, and restoration of marine and coastal zones","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",NbS,"Protection, management, and restoration of marine and coastal zones This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration.",0
